project,release_high_td,release_low_td,squad_drop_pct,actual_ratio_before,actual_ratio_after,actual_drop_pct,status
apache#arrow-rs,4.3.0,4.4.0,89.0,,,,build_failed
apache#cayenne,4.0.M3,4.0.M4,67.0,,,,build_failed
apache#opendal,v0.33.1,v0.33.2,66.0,,,,build_failed
apache#systemds,32002665,v1.1.0-rc2,59.6,,,,clone_failed
apache#couchdb-fauxton,v1.1.9,v1.1.11,58.1,,,,no_build
apache#datafusion,23.0.0-rc1,23.0.0,57.8,,,,build_failed
apache#incubator-pegasus,v2.1.0-RC2,v2.1.0-RC3,54.4,,,,no_build
apache#uima-uimaj,uimaj-2.8.1,uimaj-2.9.0,54.3,,,,build_failed
apache#skywalking-java,v3.2.3,v3.2.4,53.2,1.1,1.1,0.0,ok
apache#kyuubi,v1.9.1-rc0,v1.9.3-rc0,52.1,,,,ok
apache#cordova-cli,2.4.0,2.5.0,50.6,,,,no_build
apache#commons-imaging,commons-imaging-1.0-RC3,commons-imaging-1.0-RC4,50.4,2.3,2.3,0.0,ok
apache#hbase,2.4.14RC1,2.3.6RC1,50.4,,,,build_failed
apache#flink-connector-kafka,v3.1.0,v3.2.0-rc1,48.8,,,,build_failed
apache#commons-configuration,CONFIGURATION_1_5RC2,CONFIGURATION_1_5,48.6,1.8,1.8,0.0,ok
apache#storm,v2.5.0,v2.6.0,47.8,,,,build_failed
apache#spark,v1.2.0,v1.2.1,46.8,0.4,0.4,0.0,ok
apache#httpcomponents-core,5.3-alpha1-RC2,rel#v4.0-beta2,46.8,,,,clone_failed
apache#openmeetings,3.2.1RC2,3.3.1RC3,46.4,,,,build_failed
apache#commons-csv,1.1,CSV_1.0_RC1,44.8,1.2,1.2,0.0,ok
apache#camel-k,0.2.0,0.2.1,44.3,,,,no_build
apache#spark,v3.3.1-rc4,v3.3.2,43.0,0.3,0.3,0.0,ok
apache#shardingsphere,1.4.2,1.5.0,42.8,1.4,0.7,50.0,ok
apache#dubbo-go,v1.5.0,v1.5.1,42.7,,,,no_build
apache#ant-ivy,2.4.0-rc1,2.4.0,42.0,,,,build_failed
apache#allura,asf_release_1.0.0,asf_release_1.0.0-RC1,40.6,,,,no_build
apache#cordova-android,3.2.0,3.2.0-rc1,40.1,,,,no_build
apache#httpcomponents-core,5.3-alpha1-RC1,5.0-alpha1-RC1,39.9,0.7,0.8,-14.29,ok
apache#httpcomponents-core,4.4.9-RC1,rel#v4.0-alpha5,39.3,,,,clone_failed
apache#datafusion-ballista,0.11.0-rc1,0.12.0,38.7,,,,build_failed
apache#datafusion-ballista,0.12.0-rc2,0.12.0-rc3,38.7,,,,build_failed
apache#causeway,rel#simpleapp-archetype-1.13.2,rel#simpleapp-archetype-1.15.1,38.1,,,,clone_failed
apache#commons-jexl,commons-jexl-3.5.0-RC2,commons-jexl-3.2-rc1,37.9,0.7,1.4,-100.0,ok
apache#spark,v2.3.3-rc1,v2.3.3-rc2,37.8,0.4,0.4,0.0,ok
apache#spark,v4.0.0-preview1,v4.0.0-preview1-rc1,37.3,,,,build_failed
apache#datafusion-python,36.0.0-rc1,36.0.0,36.7,0.1,0.1,0.0,ok
apache#causeway,rel#simpleapp-archetype-1.13.2.1,rel#simpleapp-archetype-1.14.0,36.2,,,,clone_failed
apache#arrow-rs-object-store,v0.12.0,v0.12.1,35.2,0.0,0.0,0.0,ok
apache#spark,v3.5.0-rc2,v3.5.0-rc3,34.7,,,,build_failed
apache#incubator-resilientdb,nexres-v1.0.0,nexres-v1.0.1,34.6,,,,no_build
apache#couchdb-fauxton,1.2.4,v1.0.3,34.2,,,,no_build
apache#cordova-plugin-camera,r0.3.0,r0.3.1,33.3,,,,no_build
apache#commons-beanutils,rel#commons-beanutils-1.11.0,commons-beanutils-1.10.0-RC1,32.1,,,,clone_failed
apache#singa,v0.1.0-incubating,v0.1.0,32.1,,,,no_build
apache#commons-beanutils,rel#commons-beanutils-2.0.0-M1,rel#commons-beanutils-1.10.1,32.0,,,,clone_failed
apache#commons-beanutils,commons-beanutils-2.0.0-M1-RC1,commons-beanutils-1.10.1-RC1,32.0,1.8,1.8,0.0,ok
apache#daffodil,v2.1.0,v2.1.0-rc3,31.7,,,,no_build
apache#cordova-plugin-camera,r0.2.6,r0.2.7,31.2,,,,no_build
apache#openwebbeans,openwebbeans-1.0.0,openwebbeans-1.0.0-incubating-M2,31.2,,,,build_failed
apache#maven-enforcer,enforcer-3.0.0-M1,enforcer-3.2.0,31.2,0.7,0.5,28.57,ok
apache#superset,0.6.0,0.6.1,31.1,,,,no_build
apache#directory-kerby,kerby-all-1.0.1,kerby-all-1.1.0,31.1,5.6,5.2,7.14,ok
apache#commons-imaging,commons-imaging-1.0-RC7,commons-imaging-1.0-alpha1,30.5,1.7,1.0,41.18,ok
apache#couchdb-fauxton,v1.1.8,v1.1.10,30.5,,,,no_build
apache#httpcomponents-client,4_0_API_FREEZE,4.1.3-RC1,30.0,,,,build_failed
