project,release_high_td,release_low_td,ncloc_r1,ncloc_r2,loc_change_pct,debt_ratio_r1,debt_ratio_r2,debt_drop_pct,date_gap_days
apache#opendal,78754064,78759940,56735,61494,8.4,0.0,0.0,100.0,0
apache#opendal,v0.18.0,v0.18.1,56725,61494,8.4,0.0,0.0,100.0,0
apache#camel-spring-boot,camel-spring-boot-3.20.0,camel-spring-boot-3.18.4,1037023,1126046,8.6,70.11,0.27,99.6,17
apache#camel-spring-boot,camel-spring-boot-3.20.2,camel-spring-boot-3.18.5,1037226,1126046,8.6,70.12,0.27,99.6,1
apache#httpd,2.0.42,2.0.43,159684,189722,18.8,0.62,0.03,95.3,278
apache#arrow-rs,4.3.0,4.4.0,403221,385985,4.3,0.06,0.01,89.0,20
apache#httpd,2.2.30,2.1.6,234008,209333,10.5,0.06,0.01,86.3,0
apache#apr,APR_1_0_0,0.9.1,1388,1190,14.3,0.15,0.02,86.3,68
apache#httpd,2.2.16,2.2.2,230024,214326,6.8,0.06,0.01,86.1,0
apache#incubator-teaclave-trustzone-sdk,64629341,v0.1.0,38125,37143,2.6,0.04,0.01,81.5,156
apache#datasketches-hive,sketches-hive-0.10.1,2.0.0-RC1,4948,4924,0.5,0.37,0.07,81.0,67
apache#echarts-examples,4.8.0,21948716,28537,26486,7.2,0.36,0.07,80.4,41
apache#httpd,2.0.56,2.1.10,209952,212037,1.0,0.03,0.01,70.4,2
apache#commons-collections,collections-3.2.2-RC3,collections-4.0-alpha1,210900,242506,15.0,2.07,0.62,70.0,12
apache#iggy,server-0.2.12,server-0.2.2,229433,201293,12.3,0.04,0.01,69.7,0
apache#httpd,2.0.65,2.1.1,200949,195302,2.8,0.03,0.01,68.2,23
apache#opendal,100833522,101107026,163036,176538,8.3,0.1,0.03,67.0,0
apache#cayenne,4.0.M3,4.0.M4,1703181,1758825,3.3,2.29,0.75,67.0,0
apache#opendal,v0.33.1,v0.33.2,163036,173707,6.5,0.1,0.03,66.0,8
apache#incubator-teaclave-trustzone-sdk,162953849,v0.4.0,47974,45119,6.0,0.01,0.0,63.7,118
apache#spamassassin,sa-update_3.4.4_20220221083104,sa-update_3.4.4_20220222083105,394,434,10.1,0.95,0.36,62.1,137
apache#systemds,32002665,v1.1.0-rc2,7925324,8384078,5.8,2.67,1.08,59.6,0
apache#apisix-helm-chart,95173408,95675772,19915,19136,3.9,0.38,0.16,58.3,0
apache#couchdb-fauxton,v1.1.9,v1.1.11,53659,53791,0.2,0.04,0.02,58.1,89
apache#datafusion,23.0.0-rc1,23.0.0,988773,981909,0.7,0.03,0.01,57.8,13
apache#incubator-teaclave-trustzone-sdk,v0.2.0,v0.3.0-rc.1,37143,40188,8.2,0.01,0.0,55.2,105
