project,release_high_td,release_low_td,ncloc_r1,ncloc_r2,loc_change_pct,debt_ratio_r1,debt_ratio_r2,debt_drop_pct,date_gap_days
apache#httpd,2.0.42,2.0.43,159684,189722,18.8,0.62,0.03,95.3,278
apache#arrow-rs,4.3.0,4.4.0,403221,385985,4.3,0.06,0.01,89.0,20
apache#httpd,2.2.30,2.1.6,234008,209333,10.5,0.06,0.01,86.3,0
apache#apr,APR_1_0_0,0.9.1,1388,1190,14.3,0.15,0.02,86.3,68
apache#httpd,2.2.16,2.2.2,230024,214326,6.8,0.06,0.01,86.1,0
apache#incubator-teaclave-trustzone-sdk,64629341,v0.1.0,38125,37143,2.6,0.04,0.01,81.5,156
apache#httpd,2.0.56,2.1.10,209952,212037,1.0,0.03,0.01,70.4,2
apache#iggy,server-0.2.12,server-0.2.2,229433,201293,12.3,0.04,0.01,69.7,0
apache#httpd,2.0.65,2.1.1,200949,195302,2.8,0.03,0.01,68.2,23
apache#cayenne,4.0.M3,4.0.M4,1703181,1758825,3.3,2.29,0.75,67.0,0
apache#opendal,v0.33.1,v0.33.2,163036,173707,6.5,0.1,0.03,66.0,8
apache#spamassassin,sa-update_3.4.4_20220221083104,sa-update_3.4.4_20220222083105,394,434,10.1,0.95,0.36,62.1,137
apache#systemds,32002665,v1.1.0-rc2,7925324,8384078,5.8,2.67,1.08,59.6,0
apache#couchdb-fauxton,v1.1.9,v1.1.11,53659,53791,0.2,0.04,0.02,58.1,89
apache#datafusion,23.0.0-rc1,23.0.0,988773,981909,0.7,0.03,0.01,57.8,13
apache#incubator-pegasus,v2.1.0-RC2,v2.1.0-RC3,3293,3131,4.9,4.34,1.98,54.4,0
apache#uima-uimaj,uimaj-2.8.1,uimaj-2.9.0,1638894,1453438,11.3,1.16,0.53,54.3,0
apache#skywalking-java,v3.2.3,v3.2.4,295207,294041,0.4,2.18,1.02,53.2,14
apache#echarts-doc,20690599,7593379,358983,321370,10.5,1.62,0.76,52.8,0
apache#kyuubi,v1.9.1-rc0,v1.9.3-rc0,955624,967260,1.2,0.18,0.09,52.1,0
apache#cordova-cli,2.4.0,2.5.0,159025,163164,2.6,1.08,0.53,50.6,30
apache#commons-imaging,commons-imaging-1.0-RC3,commons-imaging-1.0-RC4,232307,203036,12.6,1.62,0.8,50.4,0
apache#hbase,2.4.14RC1,2.3.6RC1,5345596,5223342,2.3,0.63,0.31,50.4,1
apache#flink-connector-kafka,v3.1.0,v3.2.0-rc1,266243,203093,23.7,1.03,0.52,48.8,145
apache#commons-configuration,CONFIGURATION_1_5RC2,CONFIGURATION_1_5,182641,223530,22.4,1.01,0.52,48.6,145
apache#apisix-helm-chart,apisix-2.8.1,apisix-2.9.0,20265,20190,0.4,0.3,0.16,48.0,42
apache#storm,v2.5.0,v2.6.0,1849978,1776423,4.0,0.82,0.43,47.8,83
apache#iggy,iggy-0.2.14,iggy-0.2.15,234361,234361,0.0,0.04,0.02,47.2,0
apache#spamassassin,help,3_3_0_mcsnapshot_1,372,394,5.9,1.8,0.95,47.2,49
apache#spark,v1.2.0,v1.2.1,3536093,3536093,0.0,1.06,0.56,46.8,0
apache#httpcomponents-core,5.3-alpha1-RC2,rel#v4.0-beta2,358900,435405,21.3,0.88,0.47,46.8,42
apache#iggy,149104808,server-0.4.205,229433,181508,20.9,0.02,0.01,46.5,0
apache#openmeetings,3.2.1RC2,3.3.1RC3,786371,622860,20.8,0.69,0.37,46.4,0
apache#commons-csv,1.1,CSV_1.0_RC1,23976,27339,14.0,1.09,0.6,44.8,245
apache#camel-k,0.2.0,0.2.1,94742,71404,24.6,0.37,0.2,44.3,0
apache#spark,v3.3.1-rc4,v3.3.2,6713027,6713027,0.0,0.75,0.43,43.0,0
apache#brpc,1.13.0,0.9.5,20,20,0.0,1.65,0.94,42.9,258
apache#shardingsphere,1.4.2,1.5.0,265347,284348,7.2,0.38,0.22,42.8,0
apache#dubbo-go,v1.5.0,v1.5.1,76215,60767,20.3,0.51,0.29,42.7,122
apache#iggy,iggy-cli-0.8.5,server-0.4.201,284720,285372,0.2,0.02,0.01,42.1,0
apache#ant-ivy,2.4.0-rc1,2.4.0,1088532,1082221,0.6,0.62,0.36,42.0,148
apache#allura,asf_release_1.0.0,asf_release_1.0.0-RC1,342739,313082,8.7,0.8,0.48,40.6,0
apache#cordova-android,3.2.0,3.2.0-rc1,70561,67836,3.9,1.27,0.76,40.1,0
apache#httpcomponents-core,5.3-alpha1-RC1,5.0-alpha1-RC1,354869,358441,1.0,0.88,0.53,39.9,196
apache#httpcomponents-core,4.4.9-RC1,rel#v4.0-alpha5,360403,408030,13.2,0.88,0.53,39.3,60
apache#iggy,iggy-0.2.12,iggy-0.2.2,214540,188590,12.1,0.02,0.01,38.8,0
apache#datafusion-ballista,0.11.0-rc1,0.12.0,148810,129989,12.6,0.23,0.14,38.7,0
apache#datafusion-ballista,0.12.0-rc2,0.12.0-rc3,148810,129985,12.7,0.23,0.14,38.7,0
apache#apr,1.3.5,1.2.10,1462,1414,3.3,0.3,0.18,38.5,81
apache#causeway,rel#simpleapp-archetype-1.13.2,rel#simpleapp-archetype-1.15.1,1680955,1735042,3.2,1.41,0.87,38.1,0
apache#commons-jexl,commons-jexl-3.5.0-RC2,commons-jexl-3.2-rc1,162776,196624,20.8,1.05,0.65,37.9,0
apache#spark,v2.3.3-rc1,v2.3.3-rc2,3971558,3979519,0.2,0.88,0.55,37.8,0
apache#gravitino,127407801,doris-ci-v0.1.5,388404,342092,11.9,0.61,0.38,37.6,27
apache#horaedb,v2.1.0,v0.1.0,153656,160726,4.6,0.02,0.01,37.5,0
apache#spark,v4.0.0-preview1,v4.0.0-preview1-rc1,8909319,8712787,2.2,0.69,0.43,37.3,0
apache#datafusion-python,36.0.0-rc1,36.0.0,31742,32036,0.9,0.15,0.09,36.7,66
apache#iggy,server-0.2.9,iggy-cli-0.8.6,227279,181522,20.1,0.02,0.01,36.6,0
torvalds#linux,v2.6.24-rc8,v2.6.24,1583,1583,0.0,0.99,0.63,36.4,361
apache#iggy,157740553,iggy-0.1.6,212522,178532,16.0,0.02,0.01,36.3,0
apache#causeway,rel#simpleapp-archetype-1.13.2.1,rel#simpleapp-archetype-1.14.0,1657722,1657722,0.0,1.39,0.89,36.2,0
apache#camel-kamelets,v0.2.1,v0.3.0,64213,57439,10.5,0.1,0.07,35.5,63
apache#arrow-rs-object-store,v0.12.0,v0.12.1,55577,57400,3.3,0.01,0.01,35.2,30
apache#spark,v3.5.0-rc2,v3.5.0-rc3,7974407,7977597,0.0,0.67,0.43,34.7,0
apache#incubator-resilientdb,nexres-v1.0.0,nexres-v1.0.1,962,904,6.0,0.25,0.16,34.6,67
apache#couchdb-fauxton,1.2.4,v1.0.3,58610,59040,0.7,0.08,0.05,34.2,130
apache#cordova-plugin-camera,r0.3.0,r0.3.1,2785,2983,7.1,0.57,0.38,33.3,41
apache#httpd,2.0.38,2.4.52,129780,157411,21.3,1.22,0.82,32.5,84
apache#commons-beanutils,rel#commons-beanutils-1.11.0,commons-beanutils-1.10.0-RC1,113953,130221,14.3,1.16,0.79,32.1,35
apache#singa,v0.1.0-incubating,v0.1.0,6220,7607,22.3,2.27,1.54,32.1,120
apache#commons-beanutils,rel#commons-beanutils-2.0.0-M1,rel#commons-beanutils-1.10.1,106027,130517,23.1,1.13,0.77,32.0,124
apache#commons-beanutils,commons-beanutils-2.0.0-M1-RC1,commons-beanutils-1.10.1-RC1,106027,130517,23.1,1.13,0.77,32.0,0
apache#daffodil,v2.1.0,v2.1.0-rc3,451352,451352,0.0,1.26,0.86,31.7,0
apache#camel-karavan,67739933,0.0.15,121724,111815,8.1,0.13,0.09,31.2,0
apache#cordova-plugin-camera,r0.2.6,r0.2.7,2253,2316,2.8,0.8,0.55,31.2,21
apache#openwebbeans,openwebbeans-1.0.0,openwebbeans-1.0.0-incubating-M2,371637,349555,5.9,1.15,0.79,31.2,0
apache#maven-enforcer,enforcer-3.0.0-M1,enforcer-3.2.0,73032,79748,9.2,0.28,0.19,31.2,0
apache#iggy,0.0.45,0.0.46,158651,158869,0.1,0.02,0.01,31.1,0
apache#superset,0.6.0,0.6.1,48931,60738,24.1,0.37,0.26,31.1,0
apache#directory-kerby,kerby-all-1.0.1,kerby-all-1.1.0,301377,301938,0.2,0.7,0.48,31.1,180
apache#answer-plugins,cache-redis#v1.2.9,cache-redis#v1.3.0,19918,17782,10.7,0.06,0.04,30.9,0
apache#commons-imaging,commons-imaging-1.0-RC7,commons-imaging-1.0-alpha1,203036,223793,10.2,0.8,0.56,30.5,0
apache#couchdb-fauxton,v1.1.8,v1.1.10,57475,53659,6.6,0.05,0.04,30.5,202
apache#grails-views,v1.0.1,v1.0.10,5303,5289,0.3,0.58,0.41,30.2,43
apache#httpcomponents-client,4_0_API_FREEZE,4.1.3-RC1,471148,396436,15.9,1.03,0.72,30.0,106
