project_id,refactoring_count_mean,refactoring_count_median,refactoring_count_sum,refactoring_count_count,sqale_before_mean,sqale_before_median,sqale_before_sum,sqale_before_count,sqale_after_mean,sqale_after_median,sqale_after_sum,sqale_after_count,sqale_delta_mean,sqale_delta_median,sqale_delta_sum,sqale_delta_count,smells_before_mean,smells_before_median,smells_before_sum,smells_before_count,smells_after_mean,smells_after_median,smells_after_sum,smells_after_count,smells_delta_mean,smells_delta_median,smells_delta_sum,smells_delta_count,complexity_delta_mean,complexity_delta_median,complexity_delta_sum,complexity_delta_count,bugs_delta_mean,bugs_delta_median,bugs_delta_sum,bugs_delta_count
org.apache:archiva,11.621749408983451,3.0,19664,1692,68037.84137931034,77011.0,69058409.0,1015,68088.63126843658,77205.0,69246138.0,1017,119.13228035538006,10.0,120681.0,1013,3621.0275862068966,4120.0,3675343.0,1015,3624.336283185841,4123.0,3685950.0,1017,6.358341559723593,1.0,6441.0,1013,11.380059230009872,3.0,11528.0,1013,0.005923000987166831,0.0,6.0,1013
org.apache:batik,9.882694541231126,3.0,8509,861,129763.27180527383,125005.0,63973293.0,493,129795.92957746479,125040.0,64508577.0,497,55.7700205338809,37.0,27160.0,487,10970.326572008114,10849.0,5408371.0,493,10967.412474849094,10849.0,5450804.0,497,13.646817248459959,5.0,6646.0,487,30.19917864476386,12.0,14707.0,487,0.6078028747433265,0.0,296.0,487
org.apache:bcel,16.804081632653062,2.0,4117,245,54594.26633165829,55721.0,10864259.0,199,54669.92929292929,55719.5,10824646.0,198,69.57575757575758,0.0,13776.0,198,3766.4120603015076,3685.0,749516.0,199,3770.0656565656564,3687.5,746473.0,198,7.282828282828283,0.0,1442.0,198,8.156565656565656,0.0,1615.0,198,-0.06060606060606061,0.0,-12.0,198
org.apache:beanutils,11.18552036199095,4.0,2472,221,45471.867647058825,50662.5,9276261.0,204,45591.75490196078,50649.0,9300718.0,204,119.88725490196079,0.0,24457.0,204,2907.8382352941176,3167.0,593199.0,204,2913.8039215686276,3167.0,594416.0,204,5.965686274509804,0.0,1217.0,204,9.088235294117647,0.0,1854.0,204,0.004901960784313725,0.0,1.0,204
org.apache:cayenne,13.10494623655914,4.0,30469,2325,206071.14022988506,211403.0,89640946.0,435,206071.52655889146,211297.0,89228971.0,433,134.76976744186047,5.5,57951.0,430,12980.88275862069,13129.0,5646684.0,435,12977.339491916859,13129.0,5619188.0,433,5.111627906976744,1.0,2198.0,430,8.116279069767442,2.0,3490.0,430,0.09302325581395349,0.0,40.0,430
org.apache:cocoon,6.269135802469136,2.0,12695,2025,193255.5665467626,201966.0,322350285.0,1668,193140.7015015015,201964.0,321579268.0,1665,47.43685800604229,0.0,78508.0,1655,15466.354316546762,14266.0,25797879.0,1668,15436.64084084084,14259.0,25702007.0,1665,0.7009063444108762,0.0,1160.0,1655,5.035649546827795,1.0,8334.0,1655,0.029607250755287008,0.0,49.0,1655
org.apache:codec,6.398692810457517,2.0,1958,306,11235.6875,11737.0,2876336.0,256,11260.0859375,11737.0,2882582.0,256,24.3984375,0.0,6246.0,256,783.0,821.0,200448.0,256,784.3828125,821.0,200802.0,256,1.3828125,0.0,354.0,256,4.38671875,0.0,1123.0,256,0.00390625,0.0,1.0,256
org.apache:collections,20.183288409703504,4.0,14976,742,44776.923214285714,47576.5,25075077.0,560,44830.059033989266,47588.0,25060003.0,559,52.26846846846847,0.0,29009.0,555,3119.6160714285716,3088.0,1746985.0,560,3122.792486583184,3086.0,1745641.0,559,3.236036036036036,0.0,1796.0,555,10.936936936936936,2.0,6070.0,555,0.3675675675675676,0.0,204.0,555
org.apache:commons-cli,7.633802816901408,2.0,1084,142,7136.963768115942,5169.0,984901.0,138,7380.784172661871,5184.0,1025929.0,139,235.42753623188406,0.0,32489.0,138,422.036231884058,352.0,58241.0,138,435.0071942446043,352.0,60466.0,139,12.072463768115941,0.0,1666.0,138,30.91304347826087,1.0,4266.0,138,-0.08695652173913043,0.0,-12.0,138
org.apache:commons-fileupload,6.609090909090909,2.0,727,110,4517.642857142857,4905.0,379482.0,84,4535.011764705882,4934.0,385476.0,85,61.11904761904762,0.0,5134.0,84,272.6904761904762,296.5,22906.0,84,273.0,297.0,23205.0,85,3.0476190476190474,0.0,256.0,84,5.261904761904762,0.0,442.0,84,0.0,0.0,0.0,84
org.apache:commons-io,8.245641838351823,2.0,5203,631,19030.723723723724,20828.0,6337231.0,333,19140.6377245509,21062.5,6392973.0,334,40.012012012012015,0.0,13324.0,333,1243.9759759759759,1339.0,414244.0,333,1251.1017964071857,1344.5,417868.0,334,2.114114114114114,0.0,704.0,333,4.543543543543543,0.0,1513.0,333,-0.03003003003003003,0.0,-10.0,333
org.apache:commons-jelly,5.146953405017921,2.0,1436,279,29453.555555555555,32591.0,8217542.0,279,29534.458781362006,32591.0,8240114.0,279,80.90322580645162,4.0,22572.0,279,1657.0,1713.0,462303.0,279,1663.9928315412187,1715.0,464254.0,279,6.992831541218638,1.0,1951.0,279,13.376344086021506,0.0,3732.0,279,0.0,0.0,0.0,279
org.apache:commons-jexl,11.020289855072464,2.0,3802,345,10671.666666666666,9404.5,2753290.0,258,10740.24031007752,9478.5,2770982.0,258,68.57364341085271,9.0,17692.0,258,731.2054263565891,557.5,188651.0,258,739.6666666666666,557.5,190834.0,258,8.46124031007752,1.0,2183.0,258,6.945736434108527,4.0,1792.0,258,0.10077519379844961,0.0,26.0,258
org.apache:configuration,9.343825665859564,3.0,7718,826,29345.46017699115,31214.0,23212259.0,791,29386.274336283186,31214.0,23244543.0,791,40.8141592920354,0.0,32284.0,791,1490.8710493046776,1580.0,1179279.0,791,1492.5372945638433,1579.0,1180597.0,791,1.6662452591656132,0.0,1318.0,791,5.7812895069532235,1.0,4573.0,791,0.007585335018963337,0.0,6.0,791
